frame_number,landmark_name,landmark_x,landmark_y,landmark_z
0,nose,0.5179722905158997,0.3470785617828369,-0.2819667160511017
0,left_eye_inner,0.5292288064956665,0.3353533148765564,-0.26446548104286194
0,left_eye,0.5366356372833252,0.33528587222099304,-0.26449698209762573
0,left_eye_outer,0.5427294373512268,0.3354344964027405,-0.26450052857398987
0,right_eye_inner,0.5052601099014282,0.3363065719604492,-0.26689237356185913
0,right_eye,0.497567355632782,0.3369138538837433,-0.26690948009490967
0,right_eye_outer,0.4902941882610321,0.3375871479511261,-0.26690101623535156
0,left_ear,0.554989218711853,0.3418233096599579,-0.12911711633205414
0,right_ear,0.47982871532440186,0.3447783291339874,-0.14092767238616943
0,mouth_left,0.5339109301567078,0.3592222332954407,-0.22876201570034027
0,mouth_right,0.5061376094818115,0.3599262237548828,-0.2317185252904892
0,left_shoulder,0.6257733106613159,0.40853777527809143,-0.07582297176122665
0,right_shoulder,0.4066038429737091,0.4106988310813904,-0.05452791973948479
0,left_elbow,0.7330965399742126,0.46000903844833374,-0.09426335245370865
0,right_elbow,0.32047832012176514,0.4697495400905609,-0.007344603538513184
0,left_wrist,0.7124350070953369,0.5035505890846252,-0.2739741802215576
0,right_wrist,0.3008115887641907,0.5326219797134399,-0.09561493247747421
0,left_pinky,0.7100118398666382,0.5230724811553955,-0.3096003234386444
0,right_pinky,0.28677240014076233,0.5506561398506165,-0.11474905163049698
0,left_index,0.6934612393379211,0.517812192440033,-0.327045202255249
0,right_index,0.30896133184432983,0.5485572814941406,-0.15459176898002625
0,left_thumb,0.69118332862854,0.5104184150695801,-0.2807057499885559
0,right_thumb,0.31810200214385986,0.5424935817718506,-0.11326046288013458
0,left_hip,0.590154230594635,0.584359884262085,-0.0026942254044115543
0,right_hip,0.4698687791824341,0.5904450416564941,0.0024343656841665506
0,left_knee,0.6064739227294922,0.6941971778869629,0.06924448162317276
0,right_knee,0.4628174602985382,0.7030705213546753,0.0884459987282753
0,left_ankle,0.6266151666641235,0.7878614664077759,0.2821343243122101
0,right_ankle,0.46744614839553833,0.790392279624939,0.29942581057548523
0,left_heel,0.6124518513679504,0.8007610440254211,0.29345956444740295
0,right_heel,0.4865453839302063,0.8027888536453247,0.31118035316467285
0,left_foot_index,0.6575984358787537,0.8261162638664246,0.15910175442695618
0,right_foot_index,0.42956268787384033,0.8346191644668579,0.1868361085653305
1,nose,0.5166945457458496,0.34686535596847534,-0.2680996358394623
1,left_eye_inner,0.5277507305145264,0.33540114760398865,-0.24619734287261963
1,left_eye,0.535152792930603,0.3353624641895294,-0.2462289035320282
1,left_eye_outer,0.5416180491447449,0.33552852272987366,-0.2462584227323532
1,right_eye_inner,0.5039049983024597,0.33634617924690247,-0.24779868125915527
1,right_eye,0.4963914752006531,0.33695751428604126,-0.24781398475170135
1,right_eye_outer,0.4893360435962677,0.33767062425613403,-0.24776791036128998
1,left_ear,0.5541847944259644,0.3420230746269226,-0.10624072700738907
1,right_ear,0.47955867648124695,0.34495168924331665,-0.11423400044441223
1,mouth_left,0.533273458480835,0.3591943085193634,-0.21617715060710907
1,mouth_right,0.5053033828735352,0.35987231135368347,-0.2179308533668518
1,left_shoulder,0.628250777721405,0.40942397713661194,-0.0704309269785881
1,right_shoulder,0.40805956721305847,0.41049450635910034,-0.05356644466519356
1,left_elbow,0.7318323850631714,0.45698732137680054,-0.14666949212551117
1,right_elbow,0.31492507457733154,0.4597845673561096,-0.11213307082653046
1,left_wrist,0.7538488507270813,0.4858141839504242,-0.3891802430152893
1,right_wrist,0.27232620120048523,0.5028300881385803,-0.3344372510910034
1,left_pinky,0.7705361843109131,0.4980793595314026,-0.43993404507637024
1,right_pinky,0.24736443161964417,0.5278757810592651,-0.3778381049633026
1,left_index,0.7498979568481445,0.4949561059474945,-0.4696311950683594
1,right_index,0.27007371187210083,0.5264348387718201,-0.42210128903388977
1,left_thumb,0.7380989193916321,0.490711510181427,-0.4068142771720886
1,right_thumb,0.28420019149780273,0.5194278359413147,-0.36055004596710205
1,left_hip,0.5901541113853455,0.5873347520828247,-0.002930676331743598
1,right_hip,0.47005870938301086,0.591072678565979,0.002699593547731638
1,left_knee,0.6063374876976013,0.6954934597015381,0.08190438151359558
